Country/Region,Location,location_id
Italy,Piemonte,35494
Italy,Valle d'Aosta,35495
Italy,Liguria,35496
Italy,Lombardia,35497
Italy,Provincia autonoma di Trento,35499
Italy,Veneto,35500
Italy,Friuli-Venezia Giulia,35501
Italy,Emilia-Romagna,35502
Italy,Toscana,35503
Italy,Marche,35505
Italy,Abruzzo,35507
Italy,Puglia,35510
China,"Wuhan City, Hubei",-503002
Spain,Castile and Leon,60367
Spain,Castilla-La Mancha,60360
Spain,Catalonia,60368
Spain,Community of Madrid,60361
Spain,Galicia,60372
Spain,Navarre,60370